Repository,Branch,In-Scope(YES)
pru-pluk/pss-eta-github_governance,feature/GTDE-145-new,
pru-pluk/pss-eta-github_governance,feature/GTDE-145,
pru-pluk/pss-eta-github_governance,main,
pru-pluk/pluk-rnh-mie-base,bugfix/PLUKDEVOPS-720,
pru-pluk/pluk-rnh-mie-base,develop,Yes
pru-pluk/pluk-rnh-mie-base,feature/PLUKDEVOPS-4310,
pru-pluk/pluk-rnh-mie-base,feature/develop,
pru-pluk/pluk-rnh-mie-base,master,Yes
pru-pluk/pluk-rnh-mie-dbm,bugfix/PLUKDEVOPS-720,
pru-pluk/pluk-rnh-mie-dbm,develop,Yes
pru-pluk/pluk-rnh-mie-dbm,feature/PLUKDEVOPS-4310,
pru-pluk/pluk-rnh-mie-dbm,master,Yes
pru-pluk/pluk-rnh-mie-core,bugfix/PLUKDEVOPS-720,
pru-pluk/pluk-rnh-mie-core,develop,Yes
pru-pluk/pluk-rnh-mie-core,feature/PLUKDEVOPS-4310,
pru-pluk/pluk-rnh-mie-core,master,Yes
pru-pluk/pluk-9yu-aks-configurations,master,Yes
pru-pluk/pluk-9yu-apache-tomcat-playbook,WIP,
pru-pluk/pluk-9yu-apache-tomcat-playbook,master,Yes
pru-pluk/pluk-9yu-aks-namespace-request,Appsec_Latest,
pru-pluk/pluk-9yu-aks-namespace-request,Appsec_Latest1,
pru-pluk/pluk-9yu-aks-namespace-request,Create-Pulse4Ops-az2,
pru-pluk/pluk-9yu-aks-namespace-request,Create-namespace-rbac-wxt0j8,
pru-pluk/pluk-9yu-aks-namespace-request,Create-namespace-wxt0j8-pruservice,
pru-pluk/pluk-9yu-aks-namespace-request,Create-new-aks-pruservice,
pru-pluk/pluk-9yu-aks-namespace-request,Create-new-jenkins-for-monitoring,
pru-pluk/pluk-9yu-aks-namespace-request,Create-new-namespace-for-voice-recording,
pru-pluk/pluk-9yu-aks-namespace-request,Create-new-namespace-hmzyyh-pruservice,
pru-pluk/pluk-9yu-aks-namespace-request,Create-new-namespace-voice-record,
pru-pluk/pluk-9yu-aks-namespace-request,Create-new-namespace-voice-recording,
pru-pluk/pluk-9yu-aks-namespace-request,Create-new-namespace-wxt0j8-for-replacement,
pru-pluk/pluk-9yu-aks-namespace-request,Create-new-voice-record-namespace,
pru-pluk/pluk-9yu-aks-namespace-request,appsec,
pru-pluk/pluk-9yu-aks-namespace-request,appsec1,
pru-pluk/pluk-9yu-aks-namespace-request,appsec2,
pru-pluk/pluk-9yu-aks-namespace-request,appsec3,
pru-pluk/pluk-9yu-aks-namespace-request,appsec4,
pru-pluk/pluk-9yu-aks-namespace-request,baskarkubendiran_prudential.com.sg/namespace.yml-1721303075325,
pru-pluk/pluk-9yu-aks-namespace-request,create-esb-namespace,
pru-pluk/pluk-9yu-aks-namespace-request,create-namespace-cep-pruonline,
pru-pluk/pluk-9yu-aks-namespace-request,create-namespace-for-cep,
pru-pluk/pluk-9yu-aks-namespace-request,create-namespace-prucashier-uat,
pru-pluk/pluk-9yu-aks-namespace-request,create-ns-wwgaab,
pru-pluk/pluk-9yu-aks-namespace-request,feature/aks-po1dyp,
pru-pluk/pluk-9yu-aks-namespace-request,feature/aksafrica,
pru-pluk/pluk-9yu-aks-namespace-request,master,Yes
pru-pluk/pluk-9yu-aks-namespace-request,rakeshvitthal.gole_prudential.com.my/namespace.yml-1719468186269,
pru-pluk/pluk-9yu-aks-namespace-request,rakeshvitthal.gole_prudential.com.my/namespace.yml-1719471515206,
pru-pluk/pluk-9yu-aks-namespace-request,sgrsss-nprd-uat-az2-yuxpws-uat-conjur,
pru-pluk/pluk-9yu-aks-namespace-request,template,
pru-pluk/pluk-9yu-aks-namespace-request,test-pluk-namespace-request,
pru-pluk/pluk-9yu-aks-namespace-request,trigger,
pru-pluk/pluk-9yu-aks-namespace-request,vignankumar_prudential.com.sg/namespace.yml-1716522526433,
pru-pluk/pluk-9yu-aks-namespace-request,vinothkumar_prudential.com.sg/aks-namespace-request,
pru-pluk/pluk-9yu-aks-namespace-request,vohuynh.long_prudential.com.vn/namespace.yml-1723445923867,
pru-pluk/pluk-9yu-aks-namespace-rbac-ph,master,Yes
pru-pluk/pluk-9yu-ansible-nfs-mount,WIP,
pru-pluk/pluk-9yu-ansible-nfs-mount,master,Yes
pru-pluk/pluk-9yu-bash-script,master,Yes
pru-pluk/pluk-9yu-capturedmon,master,Yes
pru-pluk/pluk-9yu-automation,RLA-PodLogs,
pru-pluk/pluk-9yu-automation,RLA-PodLogsV2,
pru-pluk/pluk-9yu-automation,develop,Yes
pru-pluk/pluk-9yu-automation,feature/PLUKDEVOPS-14320,
pru-pluk/pluk-9yu-automation,feature/env_test,
pru-pluk/pluk-9yu-automation,master,Yes
pru-pluk/pluk-9yu-cicd-config,master,Yes
pru-pluk/pluk-9yu-cicd,AKS-UPDATE,
pru-pluk/pluk-9yu-cicd,CSECscan,
pru-pluk/pluk-9yu-cicd,DSO-DAST,
pru-pluk/pluk-9yu-cicd,DevSecOps1,
pru-pluk/pluk-9yu-cicd,DevSecOps3,
pru-pluk/pluk-9yu-cicd,DevSecOps-DAST,
pru-pluk/pluk-9yu-cicd,DevSecOps-Fortify,
pru-pluk/pluk-9yu-cicd,DevSecOps-Fortify1,
pru-pluk/pluk-9yu-cicd,DevSecOps-Fortify2,
pru-pluk/pluk-9yu-cicd,DevSecOps-Fortify3,
pru-pluk/pluk-9yu-cicd,DevSecOps-Fortify4,
pru-pluk/pluk-9yu-cicd,DevSecOps-Fortify5a,
pru-pluk/pluk-9yu-cicd,DevSecOps-Fortify5,
pru-pluk/pluk-9yu-cicd,DevSecOps-pgl-application-Fortify1,
pru-pluk/pluk-9yu-cicd,DevSecOps-pgl-obj-mapper-Fortify1,
pru-pluk/pluk-9yu-cicd,DevSecOps-pgl-obj-mapper-Fortify2,
pru-pluk/pluk-9yu-cicd,DevSecOps-products-router-Fortify1,
pru-pluk/pluk-9yu-cicd,HH-test,
pru-pluk/pluk-9yu-cicd,PLUKDEVOPS-583,
pru-pluk/pluk-9yu-cicd,PLUKDEVOPS-1074,
pru-pluk/pluk-9yu-cicd,SDK,
pru-pluk/pluk-9yu-cicd,Staging,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Jenkinsfile-1598846706434,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Jenkinsfile-1610339293338,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Jenkinsfile-1611201007252,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Jenkinsfile-eor-db-manager-release-1603442770546,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Jenkinsfile-eor-queue-monitor-release-1603442185181,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Jenkinsfile-eor-svc-file-processor-release-1603441398979,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Jenkinsfile-eor-svc-file-processor-release-1603441902682,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Jenkinsfile-eor-svc-file-processor-release-1603441949893,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Jenkinsfile-eor-svc-mapper-release-1603441025456,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Jenkinsfile-eor-svc-template-release-1603442509337,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Jenkinsfile-pgl-obj-mapper-release-1606375251501,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Jenkinsfile-products-persistence-release-1606383492766,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Release-Jenkinsfile-Persistence-1598347209922,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Release-Jenkinsfile-Persistence-1598409087443,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/Release-Jenkinsfile-Persistence-1598410732923,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/ds-consumer.groovy-1617769824508,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/ds-dqm.groovy-1618196003129,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/ds-pub.groovy-1618211264554,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/jenkinsfile-core-1598599328599,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/line-service.groovy-1621835863943,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/pgl-telegram.groovy-1616991862877,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/security-scanning.groovy-1616992027138,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/socials-persistance.groovy-1609398076051,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/socials-persistance.groovy-1609819315176,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/socials-router.groovy-1609392155596,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/socials-service.groovy-1609391885017,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/telegram-service.groovy-1609391308967,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/telegram-service.groovy-1609913621035,
pru-pluk/pluk-9yu-cicd,aakashkhadke_prudential.com.sg/wechat-service.groovy-1621915541975,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-Persistence-1598346122170,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-pgl-application-release-1606286898927,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-pgl-application-release-1606288444991,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-pgl-application-release-1606289516210,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-pgl-application-release-1606290678208,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-pgl-application-release-1606291300409,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-pgl-application-release-1606380801112,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-pgl-application-release-1606381125057,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-pgl-application-release-1606382402610,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-pgl-obj-mapper-release-1606371507901,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-pgl-obj-mapper-release-1606374986747,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-products-adminview-release-1606275527300,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-products-adminview-release-1606371723596,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-products-adminview-release-1606381260853,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-products-adminview-release-1606382515401,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-products-persistence-release-1606372207713,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-products-persistence-release-1606380608665,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-products-persistence-release-1606381412606,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-products-router-release-1606372333365,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-products-router-release-1606381511283,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Jenkinsfile-products-service-release-1606382760173,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Release-Jenkinsfile-Persistence-1598426360255,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Release-Jenkinsfile-Persistence-1598495228143,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Release-Jenkinsfile-Persistence-1598495833938,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Release-Jenkinsfile-Persistence-1598495950917,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Release-Jenkinsfile-Persistence-1598495963288,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Release-Jenkinsfile-Persistence-1598496027596,
pru-pluk/pluk-9yu-cicd,alokprabhat_prudential.com.sg/Release-Jenkinsfile-pms-ui-1604801108629,
pru-pluk/pluk-9yu-cicd,bugfix/PLUKDEVOPS-3550,
pru-pluk/pluk-9yu-cicd,bugfix/PLUKDEVOPS-12800,
pru-pluk/pluk-9yu-cicd,byoa_tes,
pru-pluk/pluk-9yu-cicd,byoa_test,
pru-pluk/pluk-9yu-cicd,commitMsg,
pru-pluk/pluk-9yu-cicd,deployment-request,
pru-pluk/pluk-9yu-cicd,develop,Yes
pru-pluk/pluk-9yu-cicd,dso-b1,
pru-pluk/pluk-9yu-cicd,dso-b2,
pru-pluk/pluk-9yu-cicd,dso-b3,
pru-pluk/pluk-9yu-cicd,dso-b4,
pru-pluk/pluk-9yu-cicd,dso-b5,
pru-pluk/pluk-9yu-cicd,dso-b6,
pru-pluk/pluk-9yu-cicd,dso-b7,
pru-pluk/pluk-9yu-cicd,dso-b8,
pru-pluk/pluk-9yu-cicd,dso-b9,
pru-pluk/pluk-9yu-cicd,dso-b10,
pru-pluk/pluk-9yu-cicd,dso-b11,
pru-pluk/pluk-9yu-cicd,dso-b12,
pru-pluk/pluk-9yu-cicd,dso-b13,
pru-pluk/pluk-9yu-cicd,dso-b14,
pru-pluk/pluk-9yu-cicd,dso-b15,
pru-pluk/pluk-9yu-cicd,dso-b16,
pru-pluk/pluk-9yu-cicd,dso-b17,
pru-pluk/pluk-9yu-cicd,dso-b18,
pru-pluk/pluk-9yu-cicd,dso-b19,
pru-pluk/pluk-9yu-cicd,dso-b20,
pru-pluk/pluk-9yu-cicd,dso-b21,
pru-pluk/pluk-9yu-cicd,dso-b31,
pru-pluk/pluk-9yu-cicd,dso-f1-PLUK-PulseCOE-MessagingSvc-socials-service,
pru-pluk/pluk-9yu-cicd,dso-f1-PLUK-PulseIntegGL-pgl-telegram,
pru-pluk/pluk-9yu-cicd,dso-f1-PLUK-PulseIntegGL-pgl-workflow,
pru-pluk/pluk-9yu-cicd,dso-f1-be2,
pru-pluk/pluk-9yu-cicd,dso-f1-socials-router,
pru-pluk/pluk-9yu-cicd,dso-f1,
pru-pluk/pluk-9yu-cicd,dso-f2-PLUK-PulseIntegGL-pgl-workflow,
pru-pluk/pluk-9yu-cicd,dso-f2-consumer,
pru-pluk/pluk-9yu-cicd,dso-f2,
pru-pluk/pluk-9yu-cicd,dso-f3-PLUK-PulseIntegGL-pgl-workflow,
pru-pluk/pluk-9yu-cicd,eor,
pru-pluk/pluk-9yu-cicd,feature/PLUKDEVOPS-4310,
pru-pluk/pluk-9yu-cicd,feature/PLUKDEVOPS-5207,
pru-pluk/pluk-9yu-cicd,feature/PLUKDEVOPS-7759,
pru-pluk/pluk-9yu-cicd,feature/PLUKDEVOPS-8210,
pru-pluk/pluk-9yu-cicd,itx-ci,
pru-pluk/pluk-9yu-cicd,jonathanl.calatrava_prulifeuk.com.ph/jenkinsfile-pulse-persistence-1594957778652,
pru-pluk/pluk-9yu-cicd,jonc,
pru-pluk/pluk-9yu-cicd,kmerjaeriz.mesina_prulifeuk.com.ph/Jenkinsfile-pgl-obj-mapper-release-1606378887126,
pru-pluk/pluk-9yu-cicd,master,Yes
pru-pluk/pluk-9yu-cicd,maven_test,
pru-pluk/pluk-9yu-cicd,new_oss_csec_scan,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Jenkinsfile-Admin-1598345171800,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Jenkinsfile-Admin-1598346527305,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Jenkinsfile-pgl-application-release-1606391122605,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Jenkinsfile-pgl-obj-mapper-release-1606390574620,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Jenkinsfile-products-adminview-release-1606389437535,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Jenkinsfile-products-persistence-release-1606372361974,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Jenkinsfile-products-persistence-release-1606372844879,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Jenkinsfile-products-router-release-1606387171345,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Jenkinsfile-products-service-1606392950597,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Jenkinsfile-products-service-release-1606393722733,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Jenkinsfile-products-service-release-1606393980513,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/JenkinsfilePersistenceRelease-1597197266815,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-Admin-1598346431916,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-Admin-1598347262688,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-Admin-1598434988337,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-Persistence-1598347730922,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-Persistence-1598437613665,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-Persistence-1598439309552,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-Recommender-1598495620755,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-Router-1598354634641,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-Router-1599097359251,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-Service-Content-1598439010041,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-Service-Media-1598439860580,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-pms-dbm-1604907988313,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-pms-dbm-1604919608679,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-pms-notif-1604908572489,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-pms-ui-1604888119853,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-pms-ui-1604891663107,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/Release-Jenkinsfile-pms-ui-1604905519094,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/hothouse-be.groovy-1611117335592,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/hothouse-be2.groovy-1611127479771,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/hothouse-be3.groovy-1611128938593,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/pgl-db-manager.groovy-1615966268654,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/pgl-la-integration.groovy-1615969004064,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/pgl-la-mapper.groovy-1615971727819,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/pgl-router.groovy-1615959522580,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/pgl-workflow.groovy-1614839928650,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/pgl-workflow.groovy-1614843603570,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/pgl-workflow.groovy-1614845232470,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/socials-persistance.groovy-1611311555462,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/socials-router.groovy-1611312154548,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/socials-service.groovy-1611312952625,
pru-pluk/pluk-9yu-cicd,nikhilnagesh.chodankar_prudential.com.my/telegram-service.groovy-1611313597659,
pru-pluk/pluk-9yu-cicd,node-alpine-14-fix,
pru-pluk/pluk-9yu-cicd,null,
pru-pluk/pluk-9yu-cicd,pipeline2,
pru-pluk/pluk-9yu-cicd,pruone,
pru-pluk/pluk-9yu-cicd,pruone-ci,
pru-pluk/pluk-9yu-cicd,pruone-rearch,
pru-pluk/pluk-9yu-cicd,pruonev2,
pru-pluk/pluk-9yu-cicd,prurider,
pru-pluk/pluk-9yu-cicd,pulse-cms,
pru-pluk/pluk-9yu-cicd,pulse-cms-recommender,
pru-pluk/pluk-9yu-cicd,pulse-coe,
pru-pluk/pluk-9yu-cicd,pulse-integ-gl,
pru-pluk/pluk-9yu-cicd,randyp/ds-dbm,
pru-pluk/pluk-9yu-cicd,rtjenkins-migrate,
pru-pluk/pluk-9yu-cicd,test,
pru-pluk/pluk-9yu-cicd,test-hook,
pru-pluk/pluk-9yu-cicd,test-node-alpine-base,
pru-pluk/pluk-9yu-cicd,try-lng,
pru-pluk/pluk-9yu-contest,master,Yes
pru-pluk/pluk-9yu-cicd-dockerfile,epolicy,
pru-pluk/pluk-9yu-cicd-dockerfile,hashicorp,
pru-pluk/pluk-9yu-cicd-dockerfile,karate-api,
pru-pluk/pluk-9yu-cicd-dockerfile,karate-api-debug,
pru-pluk/pluk-9yu-cicd-dockerfile,master,Yes
pru-pluk/pluk-9yu-cicd-dockerfile,node,
pru-pluk/pluk-9yu-cicd-dockerfile,postgresql-client,
pru-pluk/pluk-9yu-deployment-yaml,master,Yes
pru-pluk/pluk-9yu-deployer_tokens,master,Yes
pru-pluk/pluk-9yu-deployer_tokens,staging,
pru-pluk/pluk-9yu-couchbase-deployment,bugfix/PLUKDEVOPS-4837,
pru-pluk/pluk-9yu-couchbase-deployment,master,Yes
pru-pluk/pluk-9yu-fi-doc-gen-svc-env-plli,develop,Yes
pru-pluk/pluk-9yu-fi-doc-gen-svc-env-plli,master,Yes
pru-pluk/pluk-9yu-fi-doc-gen-svc-env-plli,release,
pru-pluk/pluk-9yu-fe-mngo-qry-env-plli,develop,Yes
pru-pluk/pluk-9yu-fe-mngo-qry-env-plli,master,Yes
pru-pluk/pluk-9yu-fe-mngo-qry-env-plli,release,
pru-pluk/pluk-9yu-ds-data-migration,master,Yes
pru-pluk/pluk-9yu-fi-core,develop,Yes
pru-pluk/pluk-9yu-fi-core,master,Yes
pru-pluk/pluk-9yu-fi-core-env-plli,develop,Yes
pru-pluk/pluk-9yu-fi-core-env-plli,master,Yes
pru-pluk/pluk-9yu-fi-core-env-plli,release,
pru-pluk/pluk-9yu-fi-trnsfrm-svc-env-plli,develop,Yes
pru-pluk/pluk-9yu-fi-trnsfrm-svc-env-plli,master,Yes
pru-pluk/pluk-9yu-fi-trnsfrm-svc-env-plli,release,
pru-pluk/pluk-9yu-fi-workflow-env-plli,develop,Yes
pru-pluk/pluk-9yu-fi-workflow-env-plli,master,Yes
pru-pluk/pluk-9yu-fi-workflow-env-plli,release,
pru-pluk/pluk-9yu-fi-mngo-qry-env-iso,develop,Yes
pru-pluk/pluk-9yu-fi-mngo-qry-env-iso,master,Yes
pru-pluk/pluk-9yu-fi-mngo-qry-env-iso,release,
pru-pluk/pluk-9yu-fi-mngo-qry-env-plli,develop,Yes
pru-pluk/pluk-9yu-fi-mngo-qry-env-plli,master,Yes
pru-pluk/pluk-9yu-fi-mngo-qry-env-plli,release,
pru-pluk/pluk-9yu-gitflow-v2,bugfix/PLUKDEVOPS-1199,
pru-pluk/pluk-9yu-gitflow-v2,develop,Yes
pru-pluk/pluk-9yu-gitflow-v2,feature/PLUKDEVOPS-20,
pru-pluk/pluk-9yu-gitflow-v2,master,Yes
pru-pluk/pluk-9yu-git-submodule-parent,master,Yes
pru-pluk/pluk-9yu-jboss-standalone-playbook,WIP,
pru-pluk/pluk-9yu-jboss-standalone-playbook,WIP-Working729,
pru-pluk/pluk-9yu-jboss-standalone-playbook,master,Yes
pru-pluk/pluk-9yu-jboss-standalone-playbook,veeramanikumarpeetha_prudential.com.sg/main.yml-1633596629238,
pru-pluk/pluk-9yu-helm-chart,main,
pru-pluk/pluk-9yu-gitflow-precommithook,bugfix/PLUKDEVOPS-205,
pru-pluk/pluk-9yu-gitflow-precommithook,bugfix/PLUKDEVOPS-235,
pru-pluk/pluk-9yu-gitflow-precommithook,bugfix/PLUKDEVOPS-266,
pru-pluk/pluk-9yu-gitflow-precommithook,bugfix/PLUKDEVOPS-315,
pru-pluk/pluk-9yu-gitflow-precommithook,bugfix/PLUKDEVOPS-419,
pru-pluk/pluk-9yu-gitflow-precommithook,develop,Yes
pru-pluk/pluk-9yu-gitflow-precommithook,feature/PCAONEPULSE-000,
pru-pluk/pluk-9yu-gitflow-precommithook,master,Yes
pru-pluk/pluk-9yu-jenkins-cicd-library,PLUKDEVOPS-5028,
pru-pluk/pluk-9yu-jenkins-cicd-library,PLUKDEVOPS-6452,
pru-pluk/pluk-9yu-jenkins-cicd-library,PLUKDEVOPS-10618,
pru-pluk/pluk-9yu-jenkins-cicd-library,bugfix/PLUKDEVOPS-0,
pru-pluk/pluk-9yu-jenkins-cicd-library,bugfix/PLUKDEVOPS-235,
pru-pluk/pluk-9yu-jenkins-cicd-library,bugfix/PLUKDEVOPS-315,
pru-pluk/pluk-9yu-jenkins-cicd-library,bugfix/PLUKDEVOPS-2623,
pru-pluk/pluk-9yu-jenkins-cicd-library,bugfix/PLUKDEVOPS-2782,
pru-pluk/pluk-9yu-jenkins-cicd-library,bugfix/PLUKDEVOPS-2997,
pru-pluk/pluk-9yu-jenkins-cicd-library,bugfix/PLUKDEVOPS-3265,
pru-pluk/pluk-9yu-jenkins-cicd-library,bugfix/PLUKDEVOPS-3395,
pru-pluk/pluk-9yu-jenkins-cicd-library,bugfix/PLUKDEVOPS-4837,
pru-pluk/pluk-9yu-jenkins-cicd-library,bugfix/PLUKDEVOPS-5506,
pru-pluk/pluk-9yu-jenkins-cicd-library,building_cleanup,
pru-pluk/pluk-9yu-jenkins-cicd-library,csec-disable,
pru-pluk/pluk-9yu-jenkins-cicd-library,danielsuarez.gallium_prulifeuk.com.ph/generate-deployer-token.groovy-1689244194330,
pru-pluk/pluk-9yu-jenkins-cicd-library,danielsuarez.gallium_prulifeuk.com.ph/generate-deployer-token.groovy-1689244286097,
pru-pluk/pluk-9yu-jenkins-cicd-library,danielsuarez.gallium_prulifeuk.com.ph/generate-deployer-token.groovy-1689245333891,
